Date,TowerID,Place,Region,Description of change,Source,Route
2020-04-09,10564,"Hartlepool, All Saints, Stranton",Durham,"fr1: date,maker added,material amended",Tim Jackson,e-mail
2020-04-09,15732,"Kempston, All Saints",Bedfordshire,fr1: details added,Tim Jackson,e-mail
2020-04-09,16932,"Mangotsfield, S James",Gloucestershire,"fr1,fr2: material amended,truss added",Tim Jackson,e-mail
2020-04-09,16700,"Marshfield, S Mary V",Gloucestershire,"1-8: turning added; fr1: truss added,layout amended",Tim Jackson,e-mail
2020-04-09,16028,"Perth, The Bell Tower (Swan Bells)","Western Australia, Australia","fr1: date amended,mod date added",Tim Jackson,e-mail
2020-04-09,14238,,,1-6: turning added,Tim Jackson,e-mail
2020-04-09,14311,"Selling, S Mary V",Kent,fr1: material added,Tim Jackson,e-mail
2020-04-09,14323,"Siston, S Anne Mother of BVM",Gloucestershire,1-6: frameid added,Nick Bowden,e-mail
2020-04-09,14323,"Siston, S Anne Mother of BVM",Gloucestershire,"fr1,fr2: details added",Tim Jackson,e-mail
2020-04-09,14946,"Stourbridge, S Thomas",West Midlands,"fr1: truss added; fr2: deleted; fr2A,fr2B: added",Tim Jackson,e-mail
2020-04-09,14946,"Stourbridge, S Thomas",West Midlands,"1,2,4,7,6b: frameid amended",Tim Jackson,e-mail
2020-04-07,13900,"Castlereagh, Wesleyan Chapel","New South Wales, Australia",(Thu) PN removed: no practice held,Simon McMillan,e-mail
2020-04-07,16839,"Ingleburn, The Holy Family (RC)","New South Wales, Australia",Practice info added (and start time is not a typo!),Simon McMillan,e-mail
2020-04-07,11073,"Katoomba, S Hilda","New South Wales, Australia",PN info added but prior check (esp Winter) necessary,Simon McMillan,e-mail
2020-04-07,16505,"Litton, S Mary V",Somerset,"1,4,5: turning added; fr1: truss,layout added",Tim Jackson,e-mail
2020-04-07,15155,"Melbourne, Cath Ch of S Patrick (RC)","Victoria, Australia",PN info added (prior check necessary - security requirement),Simon McMillan,e-mail
2020-04-06,14127,"Adwick le Street, S Laurence",South Yorkshire,PN info modified,Jay Downes (Ringing Master),e-mail
2020-04-06,10825,"Melbourne, S Pius X, West Heidelberg (RC)","Victoria, Australia",PN info added - but checking first is essential,Simon McMillan,e-mail
2020-04-06,15815,"St Dominick, S Dominica",Cornwall,1-6: turning added; fr1: layout amended,Kevan Borlase,e-mail
2020-04-05,10599,"Cheldon, S Mary",Devon,1-4: nominal added,Nick Bowden,e-mail
2020-04-05,15551,"Southleigh, S Lawrence",Devon,1-4: nominal added,Nick Bowden,00013677
2020-04-05,15815,"St Dominick, S Dominica",Cornwall,"fr1: truss,layout added; fr2: truss added",Kevan Borlase,e-mail
2020-04-04,14797,"Drayton St Leonard, S Leonard & S Catherine",Oxfordshire,URL removed; not found:    www.bucksvoice.net/dslparish...,...council/keep-our-bells-ringing   TimJ#272,e-mail
2020-04-04,11810,"Fenham, S James & S Basil",Tyne and Wear,...music/guild-of-change-ringers  : not found,replaced; TimJ(#272),URLbad
2020-04-04,13219,"Haslemere, S Bartholomew",Surrey,URL removed; not found (TimJ#272):,www.haslemereparish.org/get-involved/bell-ringing/,URLbad
2020-04-04,10174,"Henlow, S Mary",Bedfordshire,URL removed;  (TimJ#272) not found:,www.henlowchurch.org.uk/St%20Mary%20Bells.htm,URLbad
2020-04-04,12066,"Holmer, S Bartholomew",Herefordshire,URL removed; not found:  www.holmerbells.co.uk,TimJ (#272; Xenu),URLbad
2020-04-04,16534,"Kingston, S James",Devon,"1,3,5: frameid amended; fr1: layout added; fr2: details added",Tim Jackson,e-mail
2020-04-04,12644,"Maidstone, S Michael & All Angels",Kent,"fr1: truss added,layout amended",Tim Jackson,e-mail
2020-04-04,14694,"Marietta, S James","Georgia, United States of America",URL replaced:  stjames-marietta.episcopalatlanta.org/,no such host; TimJ(#272),URLbad
2020-04-04,13972,"North Cave, All Saints",East Riding of Yorkshire,Removed - not found:   www.eastridingringingcentre.co.uk,TimJ (#272),URLbad
2020-04-04,14238,,,1-6: frameid added; fr1: details added,Tim Jackson,e-mail
2020-04-04,16513,,,fr1: layout amended,Tim Jackson,e-mail
2020-04-04,17042,"Portsmouth, S Agatha (RC)",Hampshire,URL removed - taken down  TimJ(REMRKS272),www.stagathaschurch.co.uk/about-st-agatha/bells/,URLbad
2020-04-04,16703,"Ruthin, S Peter","Denbighshire, Clwyd, Wales","fr1: material amended,truss,layout added",Tim Jackson,e-mail
2020-04-02,16605,"Balcombe, S Mary",West Sussex,"1,2: frameid amended; fr2: maker confirmed",Ollie Watson,e-mail
2020-04-02,15240,"Bampton, S Patrick",Cumbria,5 of Ring of 6: diam amended,D Paul Mason,00013674
2020-04-02,10869,"Dunedin, First Church of Otago","South Island, New Zealand",PN start time reverted to 19:30,Simon McMillan,e-mail
2020-04-02,16839,"Ingleburn, The Holy Family (RC)","New South Wales, Australia","1-6: nominal,turning added; 3,5,6: canon info added;",D Paul Mason,00013675
2020-04-02,16839,"Ingleburn, The Holy Family (RC)","New South Wales, Australia",1: wt amended,D Paul Mason,00013675
2020-04-02,14939,"Maryborough, S Paul","Queensland, Australia",Mon PN now starts 17:30 (rather than 17:00),Simon McMillan,e-mail
2020-04-02,10825,"Melbourne, S Pius X, West Heidelberg (RC)","Victoria, Australia",PN info removed,Simon McMillan,e-mail
2020-04-01,10543,"Dundee, Old Steeple (S Mary's Tower)","City of Dundee, Scotland",Both Church of Scotland AND Local Authority,TimJ,e-mail
2020-04-01,11821,"Dunkeld, Ruined Cath Ch of S Columba","Perth and Kinross, Scotland",Both Church of Scotland AND Other Trust,TimJ,e-mail
2020-03-31,11458,"Little Staughton, All Saints",Bedfordshire,"4: date,founder amended",Chris Pickford,e-mail
2020-03-31,12259,"Shotesham, All Saints",Norfolk,2-6: nominal added,D Paul Mason,00013673
2020-03-30,16605,"Balcombe, S Mary",West Sussex,1-8: turning added,Ollie Watson,e-mail
2020-03-30,14342,"Bristol, Priory Ch of S James (RC)",City of Bristol,9: canon info amended,Adam McCurdy,e-mail
2020-03-29,10369,"Broxbourne, S Augustine",Hertfordshire,"fr1: truss,layout added",Mike Chester,e-mail
2020-03-28,15884,"Hinton on the Green, S Peter",Worcestershire,Restoration work completed,TimJ (#272  info D Potter),e-mail
2020-03-27,10747,"Alverstoke, S Mary",Hampshire,"1-8: canon info,turning added; fr1: layout added",Tim Jackson,e-mail
2020-03-27,13791,"Boddington, S Mary Magd",Gloucestershire,fr1: truss added,Tim Jackson,e-mail
2020-03-27,15956,"Brinsop, S George",Herefordshire,"fr1: truss,layout added",Tim Jackson,e-mail
2020-03-27,15112,"Campsea Ashe, S John Bapt",Suffolk,fr1: truss added,Tim Jackson,e-mail
2020-03-27,10159,"Drewsteignton, Holy Trinity",Devon,fr2: truss amended,Tim Jackson,e-mail
2020-03-27,15398,"Inveraray, All Saints","Argyll and Bute, Scotland",1-10: turning added,Tim Jackson,e-mail
2020-03-27,12227,"Kingston upon Thames, All Saints",Greater London,"8,9,12: turning,canon info added",Tim Jackson,e-mail
2020-03-27,12644,"Maidstone, S Michael & All Angels",Kent,fr1: material added,Tim Jackson,e-mail
2020-03-27,16028,"Perth, The Bell Tower (Swan Bells)","Western Australia, Australia",Presence of simulator noted,TimJ (#271 per R Offen),e-mail
2020-03-27,16028,"Perth, The Bell Tower (Swan Bells)","Western Australia, Australia","1-16,3b,10b: frameid added; fr1: details added",Tim Jackson,e-mail
2020-03-27,10533,"Wellington, Cath Ch of S Paul","North Island, New Zealand","fr1: truss,layout added,material amended",Tim Jackson,e-mail
2020-03-25,11093,"Chartham, S Mary",Kent,1-5: turning added,Richard Offen,e-mail
2020-03-25,15398,"Inveraray, All Saints","Argyll and Bute, Scotland","fr1: truss added,material amended; 2,8,9: diam amended",Chris Pickford,e-mail
2020-03-25,12960,"Kingweston, All Saints",Somerset,"1-5: turning added; fr1,fr2: truss added; fr1: layout added",Matthew Higby,00013669
2020-03-25,12644,"Maidstone, S Michael & All Angels",Kent,"1-8: turning added; Clk: (app)wt,diam added,note amended",Richard Offen,e-mail
2020-03-25,11870,"West Lydford, S Peter",Somerset,"1-6: nominal,turning added; 1,2: canons added;",Matthew Higby,00013668
2020-03-25,11870,"West Lydford, S Peter",Somerset,"fr1: material amended,truss,layout added",Matthew Higby,00013668
2020-03-24,16166,"Beeby, All Saints",Leicestershire,Tenor note added and (app)wt amended,Chris Pickford,e-mail
2020-03-24,16166,"Beeby, All Saints",Leicestershire,"1,2: (app)wt,(app)date added,3: (app)wt amended;",Chris Pickford,00013667
2020-03-24,16166,"Beeby, All Saints",Leicestershire,"1-3: nominal,note,frameid added,diam amended; 1: founder amended;",Chris Pickford,00013667
2020-03-24,16166,"Beeby, All Saints",Leicestershire,fr1: details added,Chris Pickford,00013667
2020-03-24,12140,"Crondall, All Saints",Hampshire,3-8: canon info added,Adam McCurdy,e-mail
2020-03-24,12140,"Crondall, All Saints",Hampshire,"fr1: truss,layout added",John Baldwin,database
2020-03-24,15090,"Kirk Ella, S Andrew",East Riding of Yorkshire,Presence of simulator noted,John Arthur,e-mail
2020-03-24,16730,"West Stow, S Mary",Suffolk,Tue PN no longer held; indication of toilet facility added,Neal Dodge,e-mail
2020-03-23,10102,"Canterbury, S Dunstan",Kent,1-6: nominal added,Nick Bowden,e-mail
2020-03-23,11093,"Chartham, S Mary",Kent,1-5: nominal added; 6: nominal amended,Ashley Monck,e-mail
2020-03-23,13495,"Evesham, The Bell Tower",Worcestershire,fr1D: mod material added,Tim Jackson,e-mail
2020-03-22,15909,"Audley, S James Gt",Staffordshire,1-8: nominal added,Tim Jackson,e-mail
2020-03-22,16753,"Belfast, S Mark, Dundela","Down, Northern Ireland",Sunday (but NOT practice) ringing has resumed,TimJ (#270 info Adam McCurdy),e-mail
2020-03-22,13791,"Boddington, S Mary Magd",Gloucestershire,Indication of available toilet facility added,TimJ (#270),e-mail
2020-03-22,11515,"Bolton, S Peter",Greater Manchester,"1-12,2#: frameid added; fr1: details added",Tim Jackson,e-mail
2020-03-22,13803,"Cambridge, S Edward K&M",Cambridgeshire,3: canon info added,Tim Jackson,e-mail
2020-03-22,12513,"Canterbury, Cath & Metropolitical Ch of Christ",Kent,Bdn: welded(canons),Tim Jackson,e-mail
2020-03-22,13255,"Ecchinswell, S Lawrence",Hampshire,"1-3: diam,canon info added; fr1: truss added,layout amended",Tim Jackson,e-mail
2020-03-22,13495,"Evesham, The Bell Tower",Worcestershire,"fr1A,fr1B,fr1C,fr1D: details added; 1-12,0e,6b: frameid amended",Tim Jackson,e-mail
2020-03-22,15745,"Groton, Groton School Chapel","Massachusetts, United States of America",fr1: truss added,Tim Jackson,e-mail
2020-03-22,10931,"Leighton Buzzard, All Saints",Bedfordshire,"2#: frameid added; fr1: truss,layout added",Tim Jackson,e-mail
2020-03-22,14614,"Lockington, S Nicholas",Leicestershire,1-12: turning added,Tim Jackson,e-mail
2020-03-22,17088,"Luton, S Mary",Bedfordshire,"1,2: frameid added; fr1: material amended,truss added",Tim Jackson,e-mail
2020-03-22,17088,"Luton, S Mary",Bedfordshire,fr1A: details added,Tim Jackson,e-mail
2020-03-22,15982,"Mold, S Mary","Flintshire, Clwyd, Wales","1-8: frameid added; fr1A,fr1B: details added",Tim Jackson,e-mail
2020-03-22,10490,"New York, Trinity Ch","New York, United States of America","1-12,c7: turning added",Tim Jackson,e-mail
2020-03-22,16960,"Newport, Minster Ch of S Thomas of Canterbury & S Thomas Ap",Isle of Wight,"1-5,12: turning added",Tim Jackson,e-mail
2020-03-22,10637,"Nottingham, S Mary V",Nottinghamshire,"1-10,12: turning added; fr1: material amended,truss added",Tim Jackson,e-mail
2020-03-22,13699,"Publow, All Saints",Somerset,"fr1: truss,layout added",Tim Jackson,e-mail
2020-03-22,11847,"Shoreditch, S Leonard",Greater London,1-12: frameid added; fr1: info added,Tim Jackson,e-mail
2020-03-22,14946,"Stourbridge, S Thomas",West Midlands,"fr2: details added; 1,2,6b: frameids added",Tim Jackson,e-mail
2020-03-22,14712,"Sutton in the Isle, S Andrew",Cambridgeshire,Tenor u/r; no longer regularly practise; ringing limited,TimJ(#270 G Horritt per T Ridgman Ely D Adviser),e-mail
2020-03-22,15153,"Westminster, S Martin in the Fields",Greater London,fr2: info added,Tim Jackson,e-mail
2020-03-22,11299,"Worcester, Cath Ch of Christ & BVM",Worcestershire,2#: nominal added,Tim Jackson,e-mail
2020-03-21,12823,"Hendersonville, S James","North Carolina, United States of America","fr1: material,truss,date amended; maker added",Mike Chester,e-mail
2020-03-20,15956,"Brinsop, S George",Herefordshire,2: diam (slightly) amended,Andrew Nicholson,e-mail
2020-03-20,12823,"Hendersonville, S James","North Carolina, United States of America",fr1: details added,Mike Chester,e-mail
2020-03-19,10796,"Huntingfield, S Mary",Suffolk,"1,2: nominal added",Chris Pickford,e-mail
2020-03-18,12600,"Twickenham, All Hallows",Greater London,"Tenor note is E(-38c) as per Dove9, not Eb",Thomas Ashwin,pNBR
2020-03-18,11299,"Worcester, Cath Ch of Christ & BVM",Worcestershire,"fr1: truss,layout added,mod date deleted",Tim Jackson,e-mail
2020-03-17,15112,"Campsea Ashe, S John Bapt",Suffolk,1-5: nominal added; 5: diam amended,Nigel Taylor,e-mail
2020-03-17,15745,"Groton, Groton School Chapel","Massachusetts, United States of America","1-10: nominal,turning added",Nigel Taylor,00013660
2020-03-17,13098,"Hamilton, Cath Ch of S Peter","North Island, New Zealand","1-5,7: nominal added; 6,8: nominal amended;",Nigel Taylor,00013659
2020-03-17,13098,"Hamilton, Cath Ch of S Peter","North Island, New Zealand","1-8: canons,turning,frameid added",Nigel Taylor,00013659
2020-03-17,11254,"Hayes, S Mary",Greater London,"1-8: nominal added; 2,3,7: diam amended",Nigel Taylor,00013662
2020-03-17,12823,"Hendersonville, S James","North Carolina, United States of America",1-8: nominal added,Nigel Taylor,00013661
2020-03-17,11559,"Hutton Cranswick, S Peter",East Riding of Yorkshire,"1-6: nominal,turning added; 5: wt amended",Nigel Taylor,00013658
2020-03-17,16634,"London, S Giles without Cripplegate",City of London,1: nominal amended; 2#: nominal added,Nigel Taylor,00013656
2020-03-17,11299,"Worcester, Cath Ch of Christ & BVM",Worcestershire,"fr1A: material,truss,layout added;",Chris Pickford,e-mail
2020-03-17,11299,"Worcester, Cath Ch of Christ & BVM",Worcestershire,"fr7: truss added,layout deleted",Chris Pickford,e-mail
2020-03-16,10747,"Alverstoke, S Mary",Hampshire,1-7: nominal added; 8: nominal amended; 1-8: frameid added;,Chris Pickford,e-mail
2020-03-16,10747,"Alverstoke, S Mary",Hampshire,fr1: details added,Chris Pickford,e-mail
2020-03-16,15956,"Brinsop, S George",Herefordshire,Tenor (app)wt/note amended from 5.5cwt in Db,A Nicholson (per TimJ),e-mail
2020-03-16,15956,"Brinsop, S George",Herefordshire,"Rest'd (not tuned), 2 welded; no longer st line nor deadrope",A Nicholson (per TimJ),e-mail
2020-03-16,15956,"Brinsop, S George",Herefordshire,"1-3: canons,turning added; 1.2: (app)wt added; 2: welded;",Andrew Nicholson,e-mail
2020-03-16,15956,"Brinsop, S George",Herefordshire,"3: diam,(app)wt amended; 1,3: nominal added; 1-3: note amended",Andrew Nicholson,e-mail
2020-03-16,15956,"Brinsop, S George",Herefordshire,fr1: completely replaced,Andrew Nicholson,e-mail
2020-03-15,10747,"Alverstoke, S Mary",Hampshire,2-7: date amended,Simon Pullin,e-mail
2020-03-15,12513,"Canterbury, Cath & Metropolitical Ch of Christ",Kent,"1-11,0e,6b,Q1-Q5,Bdn: nominal added; 12: nominal amended;",Nigel Taylor,00013652
2020-03-15,12513,"Canterbury, Cath & Metropolitical Ch of Christ",Kent,"Q3,Q4,Bdn: diam amended",Nigel Taylor,00013652
2020-03-15,11622,"Hanslope, S James Gt",Buckinghamshire,"3,4: frameid amended; fr1A: details added",Tim Jackson,e-mail
2020-03-15,14840,"Kingston, S James",Dorset,1-10: turning added,Jack Pease,00013651
2020-03-15,16634,"London, S Giles without Cripplegate",City of London,1-11: nominal added; 2#: frameid added,Nigel Taylor,00013653
2020-03-15,16504,"Norton, S Andrew","Powys, Wales",Ch closed wef 12/2018: >>? leased by community group?; ..,..ringing arrs remain via local parish; R Rabjohns CinW,e-mail
2020-03-15,12858,"Thornbury, S Mary V",Gloucestershire,1-8: diam amended; 2-8: turning amended,Nigel Taylor,00013655
2020-03-15,10698,"Thriplow, S George",Cambridgeshire,"1-6: nominal,turning added; 5: diam amended",Nigel Taylor,00013654
2020-03-14,16273,"Ballymena, S Patrick","Antrim, Northern Ireland","1-12: nominal added; 2,3,4,6,7,9,10: diam amended",Nigel Taylor,00013648
2020-03-14,11981,"Barrow upon Humber, Holy Trinity",Lincolnshire,1-9: turning added,Tim Jackson,e-mail
2020-03-14,14067,"Beetley, S Mary",Norfolk,1-8: nominal added,Tim Jackson,e-mail
2020-03-14,10534,"Benenden, S George",Kent,"fr1: material,truss added",Tim Jackson,e-mail
2020-03-14,11515,"Bolton, S Peter",Greater Manchester,"1-4,2# turning added",Tim Jackson,e-mail
2020-03-14,12223,"Bradford, All Saints",Devon,No longer has a toilet: indication thereof removed,TimJ (#269 info C Pitt per G Horritt),e-mail
2020-03-14,10691,"Bradford, Cath Ch of S Peter",West Yorkshire,1-12: turning added,Tim Jackson,e-mail
2020-03-14,12993,"Bristol, S Stephen M",City of Bristol,"1-5,2#: turning added; fr1,fr2: material added",Tim Jackson,e-mail
2020-03-14,15476,"Buckfast, Abbey Ch of S Mary (RC)",Devon,fr1: layout added,Tim Jackson,e-mail
2020-03-14,14876,"Chester, Old St Mary's",Cheshire,Treble h/s at Loughboorough for work,TimJ (#270 info D Potter),e-mail
2020-03-14,13495,"Evesham, The Bell Tower",Worcestershire,"1-12,0e,6b: turning added",Tim Jackson,e-mail
2020-03-14,14601,"Gloucester, Cath Ch of Holy & Indivisible Trinity",Gloucestershire,1-7: turning added,Tim Jackson,e-mail
2020-03-14,11974,"Grundisburgh, S Mary V",Suffolk,"1-4,12: turning added",Tim Jackson,e-mail
2020-03-14,14593,"Guildford, Cath Ch of Holy Spirit",Surrey,1-12: turning added; Svc: canon info added,Tim Jackson,e-mail
2020-03-14,14414,"Hundleby, S Mary",Lincolnshire,1-3: nominal added,Tim Jackson,e-mail
2020-03-14,11813,"Ilminster, Blessed Virgin Mary",Somerset,fr1: truss added,Tim Jackson,e-mail
2020-03-14,11217,"Ipswich, S Mary le Tower",Suffolk,"1-12,2#: turning added",Tim Jackson,e-mail
2020-03-14,12227,"Kingston upon Thames, All Saints",Greater London,"1-7,10,11: turning,canon info added",Tim Jackson,e-mail
2020-03-14,10931,"Leighton Buzzard, All Saints",Bedfordshire,"1-12,2#: turning added; fr1: material added",Tim Jackson,e-mail
2020-03-14,17135,"London, S Sepulchre without Newgate, Holborn Viaduct",City of London,"1,2,6: turning added",Tim Jackson,e-mail
2020-03-14,17088,"Luton, S Mary",Bedfordshire,1-12: turning added; 3-12: frameid added; fr1: details added,Tim Jackson,e-mail
2020-03-14,15811,"Macclesfield, S Michael & All Angels",Cheshire,1-12: turning added; fr1: details added,Tim Jackson,e-mail
2020-03-14,16363,"Manchester, Town Hall",Greater Manchester,"fr1,fr2: material amended",Tim Jackson,e-mail
2020-03-14,10249,"Melbourne, S Michael",Derbyshire,1-4: turning added,Tim Jackson,e-mail
2020-03-14,15593,"Midsomer Norton, S John Bapt",Somerset,1-4: turning added,Tim Jackson,e-mail
2020-03-14,10750,"Monkton, S Mary Magd",Kent,Indication of available toilet facility added,TimJ (#269 per G Horritt),e-mail
2020-03-14,13208,"Moulton, S Peter & S Paul",Northamptonshire,"1-8,11,12: turning added",Tim Jackson,e-mail
2020-03-14,14610,"Scofton, S John Ev",Nottinghamshire,"1-8: nominal,turning added",Nigel Taylor,e-mail
2020-03-14,13740,"Staplehurst, All Saints",Kent,"1-10: nominal,turning added,diam amended; 3-8,10: canons added",Nigel Taylor,00013649
2020-03-14,12933,"Wedmore, S Mary",Somerset,Ring flagged as being tuned to OCP and shown as key C#,TimJ (#270 info N Taylor),e-mail
2020-03-14,12933,"Wedmore, S Mary",Somerset,1-8: note amended to key C#,Tim Jackson,e-mail
2020-03-14,16344,"West Bagborough, S Pancras",Somerset,Tuning description is only approximate,TimJ (#269 info D Kelly),e-mail
2020-03-14,16344,"West Bagborough, S Pancras",Somerset,1-5: nominal added; 6: nominal amended,Tim Jackson,e-mail
2020-03-14,15153,"Westminster, S Martin in the Fields",Greater London,fr1: details added,Tim Jackson,e-mail
2020-03-11,16938,"Croydon, Minster Ch of S John Bapt",Greater London,0e: nominal added,Nigel Taylor,e-mail
2020-03-11,14106,"Warminster, S Denys",Wiltshire,1-8: nominal added,Bill Hibbert,e-mail
2020-03-11,15985,"York, S Martin le Grand, Coney Street",North Yorkshire,5-8: turning amended,John Arthur,00013645
2020-03-10,15347,"Ballarat, Town Hall","Victoria, Australia",Sunday practice now starts at 13:00 (previously 14:00),"Simon McMillan, Deryn Griffiths (ANZAB webmasters)",e-mail
2020-03-10,16938,"Croydon, Minster Ch of S John Bapt",Greater London,"2,3,6,7,9,12 dismantled: gudgeon replacement",Mark Walker (WofA),e-mail
2020-03-10,10028,"Great Tew, S Michael & All Angels",Oxfordshire,Bells out of action: refurbishment of some fittings,Mark Walker (WofA),e-mail
2020-03-10,10849,"Hemington, S Peter & S Paul",Northamptonshire,Tenor note is not B (nominal C-41Hz),Chris Pickford (pNBR13643),pNBR
2020-03-10,10849,"Hemington, S Peter & S Paul",Northamptonshire,"1-4: nominal added,note amended; 2: (app)wt added;",Chris Pickford,00013643
2020-03-10,10849,"Hemington, S Peter & S Paul",Northamptonshire,fr1: maker added,Chris Pickford,00013643
2020-03-10,10133,"Holbeton, All Saints",Devon,"Restoration work completed, bells back in, ringing again",TimJ (#269),e-mail
2020-03-10,15248,"Lindfield, All Saints",West Sussex,Indication of available toilet facility added,Richard Hutchings,e-mail
2020-03-10,15097,"Odiham, All Saints",Hampshire,"Ringing suspended: o'haul of fittings, frame strengthening",Mark Walker (WofA),e-mail
2020-03-10,16028,"Perth, The Bell Tower (Swan Bells)","Western Australia, Australia",Practice now starts at 11:00 (rather than 12:00),"Simon McMillan, Deryn Griffiths (ANZAB webmasters)",e-mail
2020-03-10,11264,"Wangaratta, Cath Ch of Holy Trinity","Victoria, Australia",Practice now starts at 16:30 (rather than 17:00),"Simon McMillan, Deryn Griffiths (ANZAB webmasters)",e-mail
2020-03-09,15732,"Kempston, All Saints",Bedfordshire,"7,10: turning amended; ex7,ex10: turning added",Tim Jackson,00013642
2020-03-08,16124,"Aldwincle, S Peter",Northamptonshire,1-5: canon info added; 1-4: nominal added,Chris Pickford,e-mail
2020-03-08,14414,"Hundleby, S Mary",Lincolnshire,Sct could not be found by Cwdns when view requested: thus ..,Deborah Thorley,e-mail
2020-03-08,14414,"Hundleby, S Mary",Lincolnshire,.. removed from Ch inventory and pNBR  Deborah Thorley,Deborah Thorley,e-mail
2020-03-08,11380,"Moreton Corbet, S Bartholomew",Shropshire,Ringing suspended flag removed: two QPs rung this year,TimJ(#269),e-mail
2020-03-08,15518,"New Alresford, S John Bapt",Hampshire,www.stjohnsalresford.org.uk/groups/bellringing/   replaced,(not working)  TimJ (#268),URLbad
2020-03-08,14941,"Olney, S Peter & S Paul",Buckinghamshire,URL removed:  olneyparish.org.uk/olneybells/  not working,TimJ (#268),URLbad
2020-03-08,16411,"Orby, All Saints",Lincolnshire,Indication of available toilet facility added,Deborah Thorley,e-mail
2020-03-08,13514,"Terling, All Saints",Essex,URL replaced:   www.terlingbells.org.uk   not working,TimJ (#268),URLbad
2020-03-07,11813,"Ilminster, Blessed Virgin Mary",Somerset,fr1: layout added,Jack Pease,e-mail
2020-03-06,16273,"Ballymena, S Patrick","Antrim, Northern Ireland",Ringing temporarily suspended (ringing room floor problems),Adam McCurdy,e-mail
2020-03-06,10183,"Barton upon Humber, S Peter",Lincolnshire,Major maintenance work completed: ringing again,TimJ (#268 info D Potter),e-mail
2020-03-06,11227,"Bettisfield, S John Bapt","Wrexham, Clwyd, Wales",Ringing currently suspended 'due to frame issues',TimJ (#268 quoting tower captain per A Aspland),e-mail
2020-03-06,15716,"Branston, All Saints",Lincolnshire,Ringing suspended UFN (on H&S grounds re ladder to belfry),Chris Woodcock,e-mail
2020-03-06,11733,"Bunbury, S Boniface",Cheshire,www.stbonifacebunbury.org.uk/  replaced,TimJ (#268),URLbad
2020-03-06,13862,"Castle Caereinion, S Garmon","Powys, Wales",Tenor note added; tuning description added,TimJ (#268),e-mail
2020-03-06,13862,"Castle Caereinion, S Garmon","Powys, Wales","1-3: nominal,note added",Tim Jackson,00013632
2020-03-06,11078,"Dyrham, S Peter",Gloucestershire,"1-6: turning added; fr1: truss,layout added,material amended",Tim Jackson,00013633
2020-03-06,11398,"East Hagbourne, S Andrew",Oxfordshire,URL: www.hscr.org.uk  removed - not working,TimJ (#268),URLbad
2020-03-06,15670,"Fulbeck, S Nicholas",Lincolnshire,PN info amended,Christopher Woodcock,e-mail
2020-03-06,17060,"Goodnestone, Holy Cross",Kent,1-6: nominal added,Tim Jackson,00013634
2020-03-06,11592,"Halifax, Minster Ch of S John Bapt",West Yorkshire,0e: frameid added; fr1A: added,Tim Jackson,00013635
2020-03-06,11405,"Horncastle, S Mary V",Lincolnshire,Indication of available toilet facility added,TimJ (#268),e-mail
2020-03-06,11766,"Kelvedon, S Mary V",Essex,4th is cracked,Mike Chester (per EACR S District Newsletter),e-mail
2020-03-06,11766,"Kelvedon, S Mary V",Essex,4: noted as cracked,Mike Chester,e-mail
2020-03-06,15732,"Kempston, All Saints",Bedfordshire,Sct: canon info added,Tim Jackson,00013636
2020-03-06,14795,"Langley, S John Ev",Essex,3rd is cracked; bells are u/r,David Sloman,e-mail
2020-03-06,14795,"Langley, S John Ev",Essex,3: cracked,David Sloman,e-mail
2020-03-06,13169,"Llanishen, S Isan","Cardiff, South Glamorgan, Wales","f1,fr2: material amended,truss added",Tim Jackson,e-mail
2020-03-06,10556,"Llanover, S Bartholomew","Monmouthshire, Gwent, Wales",Restoration work has started,TimJ (#268),e-mail
2020-03-06,13059,"Longis Common, Channel Islands' Ringing Centre","Alderney, Channel Islands",PN info amended: (not Fri but) Wed 16:00 - 17:30,TimJ (#268),e-mail
2020-03-06,12692,"Mablethorpe, S Mary",Lincolnshire,Ringing currently not allowed: subsidence & tower cracks,TimJ (#268 per churchwarden via A Aspland),e-mail
2020-03-06,12052,"Machynlleth, S Peter","Powys, Wales",1-8: nominal added,Tim Jackson,00013637
2020-03-06,12311,"Manchester, Cath & Parish Ch of S Mary, S Denys, & S George",Greater Manchester,Wed PN: prior checking is strongly advised,TimJ (#268 info G Lee),e-mail
2020-03-06,10829,"Penmark, S Mary","The Vale of Glamorgan, South Glamorgan, Wales","1-6: canons,turning,frameid added; 4: date,founder amended;",Tim Jackson,e-mail
2020-03-06,10829,"Penmark, S Mary","The Vale of Glamorgan, South Glamorgan, Wales",6: diam amended; fr1: details added,Tim Jackson,e-mail
2020-03-06,16188,"Ripponden, S Bartholomew",West Yorkshire,Restoration work under way,TimJ (#268),e-mail
2020-03-06,12212,"Scampton, S John Bapt",Lincolnshire,Tenor note added,TimJ (#268),pNBR
2020-03-06,12212,"Scampton, S John Bapt",Lincolnshire,"1-3: nominal,note,turning added; fr1: layout added",Tim Jackson,00013641
2020-03-06,13667,"Shoreham by Sea, S Mary de Haura",West Sussex,Not working:  www.stmarydehaura.org.uk  --- replaced,TimJ (#268),URLbad
2020-03-06,10322,"St Anne, S Anne","Alderney, Channel Islands",Practise Sat 10:00 - noon as well as Mon PN 17:00 - 19:00,TimJ (#268 info H McGregor),e-mail
